,ACCNUM,ACCLASS,INVOLVED,MOTIVE,X,Y,LATITUDE,LONGITUDE,DATE_TIME,SEASON,YEAR,MONTH,MONTH_NAME,DAY_NAME,HOUR,HOUR_INTERVAL,ROAD_CLASS,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,IMPACTYPE,DISTRICT,NEIGHBOURHOOD,HOOD_ID,LOCCOORD,PEOPLE_COUNT,FATAL_INJURY_COUNT,MAJOR_INJURY_COUNT,MINOR_INJURY_COUNT,NO_INJURY_COUNT,NULL_INJURY_COUNT,DRIVERS_COUNT,PEDESTRIAN_COUNT,PASSENGER_COUNT,CYCLIST_COUNT,OTHER_INVTYPE_COUNT,NULL_INVTYPE_COUNT,PEOPLE_VEH_COUNT,AUTOMOBILE_VEH_COUNT,RECREATIONAL_VEH_COUNT,OTHER_VEH_COUNT,NULL_VEH_COUNT,PEDESTRIAN,Season,Weekday,Hour
4295,5001518617,Fatal,"Pedestrian, Truck",Not Recorded,-8847872.61277688,5407311.01713365,43.623171,-79.481792,2015-09-03 07:36:00,Summer,2015,9,September,Thursday,7,07:00 to 07:59,Major Arterial,<Null>,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Etobicoke York,Mimico (17),17,Mid-Block,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,Summer,3,7
4297,5001534311,Fatal,Automobile,Not Recorded,-8844188.2715901,5428550.60734587,43.76113,-79.448695,2015-09-05 16:52:00,Summer,2015,9,September,Saturday,16,16:00 to 16:59,Local,Non Intersection,No Control,Clear,Daylight,Dry,SMV Other,North York,Bathurst Manor (34),34,Intersection,2,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,Summer,5,16
4298,5001538313,Fatal,Motorcycle,Not Recorded,-8842679.11325341,5408876.31178361,43.633349,-79.435138,2015-09-06 10:34:00,Summer,2015,9,September,Sunday,10,10:00 to 10:59,Major Arterial,Non Intersection,No Control,Clear,Daylight,Dry,SMV Other,Toronto and East York,South Parkdale (85),85,Mid-Block,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Summer,6,10
4308,5001612624,Fatal,"Motorcycle, City Vehicle",Not Recorded,-8830552.85848232,5413617.02830589,43.664164,-79.326206,2015-09-18 06:10:00,Summer,2015,9,September,Friday,6,06:00 to 06:59,Minor Arterial,Non Intersection,No Control,Clear,Dark,Dry,Approaching,Toronto and East York,South Riverdale (70),70,Intersection,2,1,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,Summer,4,6
4309,5001628551,Fatal,Automobile,Not Recorded,-8824418.26398369,5429596.15144274,43.767913,-79.271098,2015-09-20 20:00:00,Summer,2015,9,September,Sunday,20,20:00 to 20:59,Major Arterial,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Turning Movement,Scarborough,Bendale (127),127,Intersection,11,1,2,3,5,0,5,0,6,0,0,0,0,5,0,0,0,0,Summer,6,20
4310,5001640604,Fatal,"Pedestrian, Automobile",Not Recorded,-8834954.76510676,5412257.56392319,43.655329,-79.365749,2015-09-22 17:51:00,Summer,2015,9,September,Tuesday,17,17:00 to 17:59,Major Arterial,Intersection Related,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Toronto and East York,Moss Park (73),73,Intersection,2,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,Summer,1,17
4314,5001649654,Fatal,"Pedestrian, Automobile",Not Recorded,-8844395.54848196,5409774.57657281,43.639189,-79.45055699999998,2015-09-24 06:36:00,Autumn,2015,9,September,Thursday,6,06:00 to 06:59,Major Arterial,At Intersection,No Control,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Toronto and East York,High Park-Swansea (87),87,Mid-Block,2,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,Autumn,3,6
4319,5001661734,Fatal,Automobile,"Speeding  Related Collision, Red Light Related  Collision, Alcohol  Related Collision, Aggressive and Distracted Driving Collision",-8856763.92314552,5410806.30448847,43.645896,-79.56166400000002,2015-09-26 00:01:00,Autumn,2015,9,September,Saturday,0,00:00 to 00:59,Major Arterial,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Turning Movement,Etobicoke York,Islington-City Centre West (14),14,Intersection,2,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,Autumn,5,0
4329,5001691895,Fatal,"Automobile, Motorcycle","Speeding  Related Collision, Aggressive and Distracted Driving Collision",-8846722.68243699,5423690.53002762,43.72959,-79.471462,2015-09-30 23:55:00,Autumn,2015,9,September,Wednesday,23,23:00 to 23:59,Major Arterial,At Intersection,No Control,Clear,"Dark, artificial",Dry,Turning Movement,North York,Downsview-Roding-CFB (26),26,Intersection,3,1,0,1,1,0,2,0,1,0,0,0,0,1,1,0,0,0,Autumn,2,23
4331,5001705355,Fatal,Automobile,"Speeding  Related Collision, Aggressive and Distracted Driving Collision",-8854436.78919049,5411544.5982812,43.650695,-79.540759,2015-10-03 03:51:00,Autumn,2015,10,October,Saturday,3,03:00 to 03:59,Major Arterial,Non Intersection,No Control,Clear,Dark,Dry,SMV Other,Etobicoke York,Islington-City Centre West (14),14,Intersection,2,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,Autumn,5,3
