ID,CAMERA_ID,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,LONGITUDE,LATITUDE,ACTIVATION_TIME
146,20915,13446608.0,Sheppard Ave E,Don Mills Rd,-79.3470400021,43.775107004,2019-09-19 04:00:00
148,20917,13445476.0,Kennedy Rd,Sheppard Ave E,-79.2882629959,43.783286002,2020-05-27 04:00:00
149,20918,13461868.0,Bathurst St,Nina St,-79.4169819992,43.6798239969,2020-12-03 05:00:00
163,20932,13446896.0,Steeles Ave W,Jane St,-79.5217349955,43.7754700072,2021-03-05 05:00:00
150,20919,13443575.0,Brimley Rd,Huntingwood Dr,-79.2733659977,43.7984070025,2021-04-07 04:00:00
158,20927,13445655.0,Willowdale Ave,Bishop Ave,-79.4078709999,43.7834400046,2021-04-07 04:00:00
178,20947,13455129.0,St Clair Ave E,Danforth Rd,-79.2599200047,43.7168460118,2021-04-27 04:00:00
162,20931,13444423.0,Finch Ave E,Don Mills Rd,-79.3547360042,43.7926600047,2021-05-07 04:00:00
153,20922,13448254.0,Lawrence Ave E,Scarborough Golf Club Rd,-79.2158379986,43.7618520037,2021-05-14 04:00:00
164,20933,13452283.0,Sheppard Ave W,Jane St,-79.5132209985,43.7393890046,2021-05-14 04:00:00
152,20921,13454867.0,Kingston Rd,Brimley Rd,-79.2403629937,43.7182259994,2021-05-25 04:00:00
159,20928,13445027.0,Cummer Ave,Willowdale Ave,-79.4099169948,43.7886630024,2021-05-25 04:00:00
160,20929,13446551.0,Sheppard Ave E,Victoria Park Ave,-79.3230170006,43.7752440086,2021-05-27 04:00:00
151,20920,13446436.0,Brimley Rd,Progress Ave,-79.2631830058,43.7752810005,2021-05-27 04:00:00
169,20938,13465860.0,Jarvis St,Shuter St,-79.3739169933,43.6553610036,2021-06-03 04:00:00
181,20950,13447492.0,Bellamy Rd N,Brimorton Dr,-79.2391650051,43.7674520013,2021-06-03 04:00:00
174,20943,13442251.0,Finch Ave E,Markham Rd,-79.2430759998,43.8129710007,2021-06-03 04:00:00
183,20952,13441776.0,Markham Rd,McNicoll Ave,-79.2478169989,43.8239970064,2021-06-11 04:00:00
166,20935,13447827.0,McCowan Rd,Brimorton Dr,-79.248958002,43.7654209968,2021-06-11 04:00:00
167,20936,,,,-79.5956219955,43.7172680074,2021-06-11 04:00:00
157,20926,13448519.0,Warden Ave,Ellesmere Rd,-79.3007509906,43.7611930035,2021-06-11 04:00:00
156,20925,13465980.0,University Ave,Dundas St W,-79.3883140021,43.6547900061,2021-06-21 04:00:00
155,20924,13468144.0,Strachan Ave,Wellington St W,-79.4114689983,43.6407580008,2021-06-21 04:00:00
184,20953,13450818.0,Lawrence Ave E,Warden Ave,-79.2947299976,43.7453760055,2021-06-23 04:00:00
180,20949,20154546.0,Morningside Ave,401 C W Morningside Ave N Ramp,-79.1977450107,43.7978289967,2021-06-23 04:00:00
177,20946,13450997.0,Eglinton Ave E,Markham Rd,-79.218913001,43.7431820019,2021-06-23 04:00:00
171,20940,13449574.0,Steeles Ave W,Martin Grove Rd,-79.6033810036,43.7578610077,2021-06-29 04:00:00
168,20937,13452437.0,Bathurst St,Wilson Ave,-79.4340050046,43.7373540023,2021-06-29 04:00:00
187,20956,13450458.0,William R Allen Rd,Sheppard Ave W,-79.4633900003,43.7502510064,2021-06-29 04:00:00
175,20944,13443837.0,Finch Ave E,Warden Ave,-79.3157660032,43.7967720021,2021-06-30 04:00:00
154,20923,13441620.0,Steeles Ave E,Markham Rd,-79.2511890037,43.8365980058,2021-06-30 04:00:00
176,20945,13451212.0,Lawrence Ave E,Pharmacy Ave,-79.3046450113,43.7432420026,2021-07-29 04:00:00
170,20939,13448487.0,Lawrence Ave E,Greencrest Crct,-79.2229820033,43.7603119953,2021-07-29 04:00:00
