INDEX_,DATE_TIME,SEASON,YEAR,MONTH,MONTH_NAME,DAY_NAME,HOUR,HOUR_INTERVAL,ACCNUM,INVTYPE,INVAGE,INJURY,DISTRICT,NEIGHBOURHOOD,VEHTYPE,VEHICLE_CATEGORY,ALCOHOL
7470894,2012-10-01 14:54:00,Autumn,2012,10,October,Monday,14,14:00 to 14:59,1317840,Driver,65 to 69,None,Toronto and East York,Woodbine-Lumsden (60),"Automobile, Station Wagon",Automobile,<Null>
7470895,2012-10-01 14:54:00,Autumn,2012,10,October,Monday,14,14:00 to 14:59,1317840,Pedestrian,75 to 79,Major,Toronto and East York,Woodbine-Lumsden (60),Other,Other,<Null>
7487146,2012-10-02 18:20:00,Autumn,2012,10,October,Tuesday,18,18:00 to 18:59,1324692,Driver,45 to 49,None,Toronto and East York,Church-Yonge Corridor (75),"Automobile, Station Wagon",Automobile,<Null>
7487147,2012-10-02 18:20:00,Autumn,2012,10,October,Tuesday,18,18:00 to 18:59,1324692,Cyclist,60 to 64,Major,Toronto and East York,Church-Yonge Corridor (75),Bicycle,People,<Null>
7471737,2012-10-03 14:40:00,Autumn,2012,10,October,Wednesday,14,14:00 to 14:59,1318227,Passenger,45 to 49,Minimal,Scarborough,Cliffcrest (123),Other,Other,<Null>
7471738,2012-10-03 14:40:00,Autumn,2012,10,October,Wednesday,14,14:00 to 14:59,1318227,Vehicle Owner,unknown,<Null>,Scarborough,Cliffcrest (123),Other,Other,<Null>
7471739,2012-10-03 14:40:00,Autumn,2012,10,October,Wednesday,14,14:00 to 14:59,1318227,Driver,40 to 44,None,Scarborough,Cliffcrest (123),"Automobile, Station Wagon",Automobile,<Null>
7471740,2012-10-03 14:40:00,Autumn,2012,10,October,Wednesday,14,14:00 to 14:59,1318227,Pedestrian,15 to 19,Major,Scarborough,Cliffcrest (123),Other,Other,<Null>
7487822,2012-10-04 17:48:00,Autumn,2012,10,October,Thursday,17,17:00 to 17:59,1324973,Vehicle Owner,unknown,<Null>,Toronto and East York,Annex (95),Other,Other,<Null>
7487823,2012-10-04 17:48:00,Autumn,2012,10,October,Thursday,17,17:00 to 17:59,1324973,Truck Driver,30 to 34,None,Toronto and East York,Annex (95),Truck - Open,Other,<Null>
7487824,2012-10-04 17:48:00,Autumn,2012,10,October,Thursday,17,17:00 to 17:59,1324973,Cyclist,50 to 54,Major,Toronto and East York,Annex (95),Bicycle,People,<Null>
7487825,2012-10-04 17:48:00,Autumn,2012,10,October,Thursday,17,17:00 to 17:59,1324973,Other,unknown,None,Toronto and East York,Annex (95),Other,Other,<Null>
7559685,2012-10-05 14:55:00,Autumn,2012,10,October,Friday,14,14:00 to 14:59,1318483,Motorcycle Driver,35 to 39,Fatal,Etobicoke York,Rockcliffe-Smythe (111),Motorcycle,Recreational,<Null>
7559686,2012-10-05 14:55:00,Autumn,2012,10,October,Friday,14,14:00 to 14:59,1318483,Driver,30 to 34,None,Etobicoke York,Rockcliffe-Smythe (111),"Automobile, Station Wagon",Automobile,<Null>
7490098,2012-10-05 15:29:00,Autumn,2012,10,October,Friday,15,15:00 to 15:59,1325976,Driver,40 to 44,None,North York,Hillcrest Village (48),"Automobile, Station Wagon",Automobile,<Null>
7490099,2012-10-05 15:29:00,Autumn,2012,10,October,Friday,15,15:00 to 15:59,1325976,Pedestrian,15 to 19,Major,North York,Hillcrest Village (48),Other,Other,<Null>
7491861,2012-10-09 12:49:00,Autumn,2012,10,October,Tuesday,12,12:00 to 12:59,1326729,Vehicle Owner,unknown,<Null>,Toronto and East York,Corso Italia-Davenport (92),Other,Other,<Null>
7491862,2012-10-09 12:49:00,Autumn,2012,10,October,Tuesday,12,12:00 to 12:59,1326729,Driver,30 to 34,None,Toronto and East York,Corso Italia-Davenport (92),Municipal Transit Bus (TTC),Other,<Null>
7491863,2012-10-09 12:49:00,Autumn,2012,10,October,Tuesday,12,12:00 to 12:59,1326729,Pedestrian,50 to 54,Major,Toronto and East York,Corso Italia-Davenport (92),Other,Other,<Null>
7515272,2012-10-09 17:28:00,Autumn,2012,10,October,Tuesday,17,17:00 to 17:59,1318785,Vehicle Owner,unknown,<Null>,Etobicoke York,West Humber-Clairville (1),Other,Other,<Null>
7515273,2012-10-09 17:28:00,Autumn,2012,10,October,Tuesday,17,17:00 to 17:59,1318785,Truck Driver,55 to 59,None,Etobicoke York,West Humber-Clairville (1),Truck - Open,Other,<Null>
7515274,2012-10-09 17:28:00,Autumn,2012,10,October,Tuesday,17,17:00 to 17:59,1318785,Trailer Owner,unknown,<Null>,Etobicoke York,West Humber-Clairville (1),Other,Other,<Null>
7515275,2012-10-09 17:28:00,Autumn,2012,10,October,Tuesday,17,17:00 to 17:59,1318785,Pedestrian,40 to 44,Major,Etobicoke York,West Humber-Clairville (1),Other,Other,<Null>
7515276,2012-10-09 17:28:00,Autumn,2012,10,October,Tuesday,17,17:00 to 17:59,1318785,Pedestrian,10 to 14,Minimal,Etobicoke York,West Humber-Clairville (1),Other,Other,<Null>
7491581,2012-10-10 06:17:00,Autumn,2012,10,October,Wednesday,06,06:00 to 06:59,1326621,Vehicle Owner,unknown,<Null>,Etobicoke York,Weston (113),Other,Other,<Null>
7491582,2012-10-10 06:17:00,Autumn,2012,10,October,Wednesday,06,06:00 to 06:59,1326621,Driver,25 to 29,None,Etobicoke York,Weston (113),"Automobile, Station Wagon",Automobile,<Null>
7491583,2012-10-10 06:17:00,Autumn,2012,10,October,Wednesday,06,06:00 to 06:59,1326621,Cyclist,30 to 34,Major,Etobicoke York,Weston (113),Bicycle,People,<Null>
